farmer_id,contracted_merchant_id,contracted_quantity_kg,contracted_price_per_kg,delivered_to_contractor_kg,delivered_to_others_kg,delivery_ratio,distance_to_contractor_km,distance_to_alternative_km,alternative_price_premium,farmer_debt_level_usd,contractor_support_score,harvest_season,is_side_buying
F00019,M145,2294.78,3.17,1296.35,872.18,0.565,1.0,3.8,0.315,109.01,46.5,mid,1
F00020,M082,1881.04,3.73,1176.08,872.87,0.625,1.3,23.0,0.259,1017.86,93.2,mid,1
F00021,M134,2013.7,3.77,1822.52,171.17,0.905,15.6,11.0,0.0,206.13,24.8,mid,0
F00022,M185,507.0,4.9,507.0,0.0,1.0,11.8,46.2,0.0,701.27,57.8,early,0
F00023,M159,1541.46,5.25,1022.2,86.91,0.663,15.8,15.1,0.0,132.22,38.7,late,0
F00024,M035,2039.48,4.32,1927.86,26.38,0.945,11.8,42.4,0.0,5.97,36.2,late,0
F00025,M184,1584.97,4.62,1563.2,87.56,0.986,16.5,1.3,0.0,64.03,82.3,early,0
F00026,M076,2796.33,2.14,1935.7,857.44,0.692,2.7,10.3,0.083,655.28,85.3,early,1
F00027,M008,1771.93,4.11,1771.93,0.0,1.0,64.3,13.0,0.0,702.74,100.0,early,0
F00028,M147,3126.54,3.73,2898.79,18.22,0.927,69.4,8.7,0.0,1219.33,90.4,early,0
F00029,M088,2373.08,4.67,2132.11,12.24,0.898,10.0,151.7,0.0,39.44,45.0,mid,0
F00030,M029,2246.72,2.63,1529.92,1508.49,0.681,15.2,6.3,0.174,5.32,72.0,mid,1
F00031,M197,1768.97,4.08,1734.69,93.77,0.981,32.1,14.3,0.0,232.37,91.0,late,0
F00032,M016,1656.27,3.11,1656.27,63.58,1.0,20.4,18.0,0.0,1008.52,81.7,mid,0
F00033,M129,2049.39,4.43,1670.84,76.98,0.815,124.3,12.4,0.0,714.19,69.4,mid,0
F00034,M090,3371.35,3.44,3284.19,242.59,0.974,65.7,9.4,0.0,1.18,82.5,mid,0
F00035,M169,2246.6,2.41,1565.56,1051.39,0.697,96.8,11.1,0.056,57.71,24.1,late,1
F00036,M105,1111.49,3.95,985.38,36.77,0.887,55.0,7.1,0.0,542.5,77.1,mid,0
F00037,M101,3823.95,3.14,3003.58,78.17,0.785,9.6,5.5,0.0,71.1,71.3,late,0
F00038,M032,3229.14,3.3,3229.14,253.59,1.0,13.2,6.4,0.0,409.02,60.5,late,0
F00039,M106,3960.17,2.08,3960.17,443.1,1.0,41.1,25.7,0.0,187.36,100.0,late,0
F00040,M111,2271.42,1.8,1541.19,1386.0,0.679,23.5,32.1,0.242,356.68,70.5,late,1
F00041,M098,2145.16,3.81,1927.35,303.06,0.898,45.8,18.9,0.0,1158.13,92.8,mid,0
F00042,M002,1084.34,3.13,1020.63,84.73,0.941,109.9,21.5,0.0,490.26,100.0,mid,0
F00043,M101,2360.02,3.99,1637.54,1369.35,0.694,87.2,11.9,0.159,831.33,62.6,early,1
F00044,M157,2191.63,3.88,1978.17,0.0,0.903,38.2,2.6,0.0,159.86,88.3,late,0
F00045,M066,1741.27,4.52,1656.52,127.09,0.951,39.1,52.1,0.0,36.44,57.5,late,0
F00046,M090,2473.86,4.1,469.49,999.85,0.19,111.2,5.0,0.257,46.08,68.1,mid,1
F00047,M130,960.4,4.4,811.3,92.28,0.845,6.3,3.6,0.0,59.84,66.7,early,0
F00048,M029,3176.72,3.56,2906.41,300.18,0.915,19.8,3.8,0.0,357.33,83.5,early,0
F00049,M033,1035.38,3.16,995.35,110.59,0.961,26.2,4.3,0.0,1346.48,50.0,mid,0
F00050,M186,2254.55,3.0,2048.97,173.78,0.909,79.0,5.3,0.0,237.84,44.8,late,0
F00051,M090,723.41,3.52,530.05,235.32,0.733,15.9,12.4,0.121,883.67,97.3,early,1
F00052,M047,2971.18,4.51,2825.73,176.3,0.951,75.9,18.5,0.0,86.8,87.5,late,0
F00053,M057,2274.02,2.19,1896.93,1374.69,0.834,14.5,2.8,0.177,666.64,75.3,early,1
F00054,M102,3034.08,3.68,2615.54,96.67,0.862,4.0,20.5,0.0,77.68,84.3,early,0
F00055,M091,726.54,3.78,608.96,23.52,0.838,19.5,8.7,0.0,489.72,49.6,mid,0
F00056,M068,2226.89,2.84,2226.89,10.25,1.0,9.3,1.3,0.0,296.28,75.5,late,0
F00057,M160,526.54,3.34,430.8,7.44,0.818,34.9,1.1,0.0,95.59,100.0,late,0
F00058,M161,1891.7,3.17,1695.01,247.9,0.896,84.0,30.0,0.0,1073.14,100.0,early,0
F00059,M169,1323.33,2.17,1119.31,47.32,0.846,6.9,22.4,0.0,777.45,58.9,mid,0
F00060,M070,1594.77,2.74,1443.66,0.0,0.905,18.7,24.1,0.0,101.92,45.2,mid,0
F00061,M151,3884.43,4.32,3551.42,0.0,0.914,11.3,6.8,0.0,452.85,64.7,mid,0
F00062,M120,1145.5,2.56,810.6,233.59,0.708,10.6,1.0,0.02,77.14,84.2,mid,1
F00063,M004,2415.32,2.27,1752.81,25.6,0.726,49.4,14.4,0.0,369.17,84.3,late,0
F00064,M007,2773.9,2.48,1784.67,805.57,0.643,11.9,12.3,0.24,1431.64,100.0,late,1
F00065,M020,1776.21,3.96,951.01,840.59,0.535,26.9,5.8,0.181,377.08,71.1,late,1
F00066,M076,2459.4,2.73,2295.69,91.5,0.933,10.8,1.3,0.0,931.53,38.2,late,0
F00067,M079,2698.58,3.38,2508.69,248.77,0.93,20.3,2.0,0.0,58.57,80.3,early,0
F00068,M164,2294.95,2.89,2294.95,166.77,1.0,10.7,17.7,0.0,499.01,67.4,early,0
F00069,M189,1952.83,3.42,1650.42,210.87,0.845,50.0,34.6,0.0,92.29,56.8,mid,0
F00070,M177,2019.92,2.28,1634.34,0.0,0.809,3.0,71.4,0.0,79.05,57.4,late,0
F00071,M136,807.13,2.66,662.58,13.13,0.821,6.1,15.0,0.0,222.05,90.2,early,0
F00072,M005,3287.4,3.22,2087.81,1511.6,0.635,5.6,24.8,0.252,1159.62,65.3,mid,1
F00073,M120,2031.41,2.96,2013.1,36.07,0.991,4.0,2.4,0.0,78.65,81.8,late,0
F00074,M007,2070.76,3.0,2070.76,65.34,1.0,1.2,34.2,0.0,38.57,85.6,mid,0
F00075,M056,1685.74,3.95,1161.24,428.48,0.689,45.6,1.0,0.207,35.28,70.7,mid,1
F00076,M032,2979.74,2.76,2336.2,1804.37,0.784,5.7,7.9,0.107,217.86,55.3,mid,1
F00077,M078,2062.34,3.4,958.54,1282.12,0.465,33.0,19.8,0.222,56.58,100.0,early,1
F00078,M083,2088.07,3.21,1876.48,38.76,0.899,36.2,27.9,0.0,687.19,81.6,early,0
F00079,M003,606.89,3.93,421.28,218.42,0.694,19.3,17.2,0.301,755.96,65.1,early,1
F00080,M046,3381.44,4.77,1579.88,963.48,0.467,30.7,1.0,0.127,102.47,95.4,late,1
F00081,M063,1433.2,1.88,511.76,373.38,0.357,3.0,26.3,0.094,49.45,100.0,late,1
F00082,M092,3488.7,4.12,1634.0,1678.62,0.468,3.4,37.4,0.385,309.27,28.9,late,1
F00083,M036,2923.78,2.54,1917.13,1230.15,0.656,21.4,5.9,0.101,43.79,34.7,early,1
F00084,M106,2424.61,4.52,2424.61,8.47,1.0,15.7,17.7,0.0,472.31,76.5,early,0
F00085,M025,608.22,2.81,431.05,144.06,0.709,20.2,16.9,0.139,160.44,100.0,mid,1
F00086,M033,1331.6,2.26,602.19,416.34,0.452,10.8,30.8,0.088,602.33,100.0,mid,1
F00087,M169,2421.11,3.84,2067.95,0.0,0.854,10.9,3.6,0.0,470.39,99.2,mid,0
F00088,M101,1574.05,4.25,1820.04,408.45,1.156,12.5,51.8,0.114,177.57,100.0,late,1
F00089,M137,1607.13,3.06,1607.13,45.72,1.0,11.8,5.3,0.0,375.42,80.0,early,0
F00090,M066,1338.23,3.36,1109.42,18.85,0.829,39.2,12.3,0.0,150.87,78.9,early,0
F00091,M097,2950.04,4.85,2753.75,486.75,0.933,18.5,21.2,0.0,12.28,65.0,early,0
F00092,M001,3840.38,4.05,3400.16,356.29,0.885,12.5,1.0,0.0,156.78,75.8,late,0
F00093,M199,1470.09,5.11,1373.99,68.4,0.935,14.5,5.1,0.0,20.87,76.7,late,0
F00094,M174,2442.48,2.82,2405.9,111.4,0.985,9.1,3.3,0.0,840.2,54.3,early,0
F00095,M123,2059.29,4.9,1610.32,86.37,0.782,11.2,1.7,0.0,729.71,76.2,late,0
F00096,M074,1799.24,4.66,1625.06,179.82,0.903,6.8,5.4,0.0,810.64,85.1,late,0
F00097,M132,1320.28,4.47,736.11,790.79,0.558,57.5,5.5,0.127,128.95,66.1,mid,1
F00098,M126,2009.0,3.91,799.76,664.21,0.398,2.8,12.7,0.3,115.11,51.3,late,1
F00099,M004,500.0,3.05,412.98,32.11,0.826,53.7,20.5,0.0,103.7,51.5,mid,0
F00100,M028,1738.31,4.41,1551.8,131.49,0.893,28.5,1.1,0.0,92.6,85.7,early,0
F00101,M085,3008.72,4.47,2108.46,1396.75,0.701,9.4,6.3,-0.008,286.72,91.3,mid,1
F00102,M164,4126.36,3.77,4055.39,149.65,0.983,81.7,1.0,0.0,227.44,100.0,early,0
F00103,M114,900.68,4.3,881.46,0.0,0.979,30.2,15.8,0.0,530.11,98.1,mid,0
F00104,M020,2151.13,2.67,2149.08,227.72,0.999,16.8,54.6,0.0,110.73,49.3,mid,0
F00105,M067,2518.3,2.36,2442.08,75.79,0.97,42.3,13.8,0.0,105.6,52.6,early,0
F00106,M126,2690.1,4.22,2316.9,0.0,0.861,3.9,14.5,0.0,673.21,49.9,early,0
F00107,M124,500.0,3.77,500.0,0.0,1.0,20.7,8.7,0.0,974.48,60.8,early,0
F00108,M009,2189.63,2.5,2187.64,0.0,0.999,4.0,4.7,0.0,429.15,54.0,early,0
F00109,M150,3015.76,3.69,2327.46,2269.95,0.772,18.1,3.1,-0.028,1913.99,66.0,mid,1
F00110,M030,2658.63,3.14,1246.71,1931.86,0.469,150.9,12.5,0.087,425.96,82.1,late,1
F00111,M114,3131.99,2.98,2735.16,272.45,0.873,16.0,3.8,0.0,8.97,87.3,early,0
F00112,M162,3035.35,5.29,2769.27,211.15,0.912,40.1,5.3,0.0,1614.53,69.6,late,0
F00113,M096,2274.97,5.14,2215.14,64.65,0.974,19.9,56.4,0.0,212.66,67.4,early,0
F00114,M059,1335.6,4.25,862.57,760.47,0.646,8.9,7.2,0.226,239.43,68.0,early,1
F00115,M043,1704.39,2.62,1640.2,0.0,0.962,86.5,48.9,0.0,540.42,69.1,late,0
F00116,M169,2645.76,3.17,2557.56,214.87,0.967,32.3,6.8,0.0,159.45,67.4,mid,0
F00117,M052,2472.85,3.67,1799.11,1522.31,0.728,37.6,22.0,0.247,635.44,69.0,early,1
F00118,M134,2845.87,4.67,1541.69,776.0,0.542,22.4,1.0,0.339,971.57,76.6,early,1
F00119,M069,2590.43,2.84,1441.82,1234.6,0.557,7.6,16.4,0.211,1037.6,100.0,late,1
F00120,M007,3766.81,2.63,511.66,1582.31,0.136,11.4,8.7,0.145,2093.24,56.9,late,1
F00121,M035,1523.87,3.38,1523.87,204.56,1.0,13.4,22.6,0.0,378.59,53.0,late,0
F00122,M183,2377.69,4.84,2377.69,163.34,1.0,8.3,5.7,0.0,583.43,70.9,early,0
F00123,M075,988.11,3.85,988.11,0.0,1.0,8.2,3.1,0.0,197.19,94.4,late,0
F00124,M025,2590.97,2.07,2400.22,212.45,0.926,55.7,3.8,0.0,626.97,50.1,late,0
F00125,M132,2436.07,3.2,2080.28,126.76,0.854,17.7,45.1,0.0,444.16,59.4,mid,0
F00126,M183,3278.37,3.01,2289.16,856.15,0.698,4.4,31.8,0.119,541.19,69.9,mid,1
F00127,M102,500.0,4.71,416.41,218.74,0.833,1.0,8.1,0.284,290.43,73.2,late,1
F00128,M025,927.56,3.02,823.13,125.76,0.887,1.6,17.8,0.0,1205.0,88.2,mid,0
F00129,M037,2112.12,4.83,1225.51,1279.5,0.58,41.4,1.0,0.407,46.82,62.6,early,1
F00130,M072,1220.86,4.6,1196.17,101.28,0.98,5.6,19.9,0.0,248.19,75.0,late,0
F00131,M036,901.13,3.46,781.0,0.0,0.867,17.2,35.6,0.0,243.16,43.5,late,0
F00132,M057,2173.33,3.2,2137.27,48.15,0.983,26.6,120.4,0.0,408.68,81.9,early,0
F00133,M171,1597.92,3.33,1597.92,16.08,1.0,11.3,4.8,0.0,255.57,58.3,early,0
F00134,M014,1624.63,4.34,1251.01,61.69,0.77,9.6,11.0,0.0,148.18,95.3,late,0
F00135,M079,1300.91,3.8,960.47,316.88,0.738,20.0,15.2,0.233,1104.3,63.4,early,1
F00136,M045,2255.82,4.26,2255.82,192.89,1.0,20.9,16.8,0.0,684.01,77.5,early,0
F00137,M136,1860.18,4.24,1798.0,269.69,0.967,29.3,19.6,0.0,117.12,76.2,early,0
F00138,M094,2662.89,4.31,2493.99,309.0,0.937,22.1,5.9,0.0,418.68,98.2,late,0
F00139,M114,1817.54,3.29,1468.52,125.3,0.808,14.2,24.6,0.0,1033.44,63.6,early,0
F00140,M112,2687.62,3.97,2687.62,158.59,1.0,30.6,33.5,0.0,130.99,83.8,late,0
F00141,M092,1647.3,4.46,1051.52,913.55,0.638,17.5,8.1,0.249,644.81,81.6,mid,1
F00142,M050,500.0,2.64,497.43,52.98,0.995,6.7,12.5,0.0,448.07,91.8,early,0
F00143,M042,2232.19,4.26,2232.19,210.18,1.0,23.6,3.4,0.0,1080.49,51.3,late,0
F00144,M051,1633.48,3.92,324.98,461.23,0.199,6.7,15.6,0.189,94.94,100.0,late,1
F00145,M171,1480.14,1.9,1936.36,575.7,1.308,29.8,2.2,0.213,281.53,83.8,mid,1
F00146,M102,2760.56,2.25,2495.4,294.9,0.904,43.5,15.2,0.0,505.62,75.4,early,0
F00147,M032,2468.77,4.25,1504.4,1331.93,0.609,24.2,6.9,0.222,1557.64,100.0,late,1
F00148,M019,2366.01,3.96,2220.76,888.46,0.939,23.5,9.7,0.111,276.51,92.9,early,1
F00149,M017,3392.47,3.36,2858.21,33.09,0.843,39.6,17.4,0.0,345.98,77.4,late,0
F00150,M165,1282.62,3.71,1037.23,444.83,0.809,36.9,5.9,0.09,108.38,99.2,early,1
F00151,M170,3694.88,3.87,3637.4,197.8,0.984,12.0,7.3,0.0,151.26,56.5,mid,0
F00152,M066,1274.66,2.48,1225.06,101.31,0.961,69.1,29.1,0.0,188.67,96.6,late,0
F00153,M121,500.0,2.89,355.01,148.88,0.71,23.5,14.0,0.192,1523.15,61.0,early,1
F00154,M146,3032.03,2.78,2875.26,133.29,0.948,59.1,42.6,0.0,914.61,84.1,early,0
F00155,M175,2388.46,4.07,2008.0,61.18,0.841,44.7,2.0,0.0,76.12,75.3,late,0
F00156,M038,2313.28,2.36,2111.59,147.44,0.913,3.0,18.2,0.0,547.22,84.9,late,0
F00157,M062,1284.51,4.73,1066.34,299.4,0.83,41.0,31.8,0.066,888.25,89.0,mid,1
F00158,M090,4080.84,3.21,2937.57,1681.6,0.72,49.0,3.4,0.261,602.76,44.2,early,1
F00159,M037,1161.81,4.42,1153.98,0.0,0.993,13.2,12.6,0.0,1036.8,37.0,mid,0
F00160,M068,2411.1,2.23,1931.9,199.95,0.801,41.4,26.1,0.0,1064.75,66.0,early,0
F00161,M115,1153.34,2.88,1153.34,17.15,1.0,15.0,5.1,0.0,40.28,67.0,mid,0
F00162,M114,2246.76,3.56,1102.26,1432.24,0.491,9.2,5.5,0.038,493.01,59.0,mid,1
F00163,M054,1087.69,2.15,935.25,64.33,0.86,19.5,33.3,0.0,1573.62,51.7,late,0
F00164,M026,1356.87,2.93,1135.04,333.8,0.837,57.8,18.2,0.193,1087.83,100.0,early,1
F00165,M042,2443.69,4.2,700.78,716.0,0.287,9.1,24.8,0.03,150.52,62.1,mid,1
F00166,M118,1074.49,2.55,249.46,149.1,0.232,37.3,4.6,0.145,919.29,55.1,mid,1
F00167,M153,1516.65,3.66,1411.5,121.11,0.931,13.8,3.3,0.0,551.93,46.1,early,0
F00168,M123,3163.28,4.4,2758.45,349.51,0.872,28.8,5.9,0.0,691.32,40.7,late,0
F00169,M078,1833.4,4.29,1513.78,0.0,0.826,28.9,27.6,0.0,39.05,66.9,early,0
F00170,M045,2063.4,2.72,659.77,1004.22,0.32,21.3,4.7,0.072,688.49,100.0,late,1
F00171,M169,3764.07,4.27,3194.36,63.99,0.849,5.7,4.8,0.0,3109.87,53.3,early,0
F00172,M101,2152.5,3.65,1647.01,190.16,0.765,1.0,2.9,0.0,598.44,70.2,early,0
F00173,M193,1717.33,2.37,1329.28,489.03,0.774,3.7,36.5,0.362,1223.14,89.8,late,1
F00174,M138,1959.67,2.94,1959.67,0.0,1.0,5.0,16.3,0.0,1080.13,46.6,mid,0
F00175,M014,2805.7,4.26,2557.81,137.89,0.912,9.2,9.7,0.0,161.79,62.1,early,0
F00176,M165,3365.84,3.13,1946.05,899.89,0.578,110.0,23.3,0.146,671.61,54.8,late,1
F00177,M068,3461.75,3.8,2886.1,211.0,0.834,34.4,12.8,0.0,418.91,72.7,mid,0
F00178,M103,2909.12,3.56,2570.22,78.28,0.884,9.0,1.6,0.0,1588.38,54.0,mid,0
F00179,M094,2856.46,2.56,2856.46,0.0,1.0,1.1,51.2,0.0,363.15,71.8,mid,0
F00180,M022,2408.38,3.34,2408.38,0.0,1.0,84.3,52.3,0.0,41.58,83.7,mid,0
F00181,M164,2076.47,3.6,1883.33,0.0,0.907,10.3,45.6,0.0,161.38,100.0,late,0
F00182,M060,3352.6,4.01,899.35,1263.16,0.268,1.0,7.3,0.206,602.48,62.7,mid,1
F00183,M004,2725.56,3.66,1136.63,689.65,0.417,16.6,3.2,0.196,1711.09,98.8,late,1
F00184,M198,1931.46,2.77,1720.58,231.06,0.891,24.1,3.1,0.0,410.31,51.8,early,0
F00185,M135,2273.01,2.85,2273.01,238.98,1.0,33.9,9.5,0.0,412.36,100.0,early,0
F00186,M116,2977.59,3.91,2535.93,0.0,0.852,18.4,6.2,0.0,82.95,91.7,mid,0
F00187,M082,2052.83,2.68,1723.28,147.5,0.839,75.5,11.6,0.0,325.27,93.9,early,0
F00188,M105,1267.04,3.88,1267.04,82.84,1.0,13.4,55.8,0.0,767.92,70.3,mid,0
F00189,M004,2853.35,4.23,2634.53,0.0,0.923,1.0,27.3,0.0,1.9,90.9,mid,0
F00190,M034,1808.79,2.35,1699.7,242.92,0.94,1.0,26.5,0.0,181.44,68.9,early,0
F00191,M006,2231.08,4.08,2085.97,0.0,0.935,20.7,1.5,0.0,292.19,53.3,mid,0
F00192,M139,2372.69,5.29,2099.86,862.7,0.885,98.7,8.1,0.267,168.36,54.9,early,1
F00193,M024,3034.36,3.97,2595.92,1715.65,0.856,5.1,16.1,0.146,295.59,97.4,early,1
F00194,M092,1124.45,3.04,0.0,0.0,0.0,4.0,1.0,0.093,1974.93,93.1,mid,1
F00195,M164,2439.09,3.41,870.65,1332.94,0.357,1.4,15.7,0.234,671.66,85.3,early,1
F00196,M117,500.0,4.26,500.0,33.23,1.0,12.7,4.4,0.0,255.83,85.6,early,0
F00197,M174,3611.99,4.77,3225.13,293.76,0.893,30.1,1.0,0.0,1279.23,86.8,late,0
F00198,M024,1651.29,2.99,1518.71,105.88,0.92,3.3,5.4,0.0,476.46,90.7,early,0
F00199,M007,1972.49,3.92,1022.0,705.04,0.518,15.5,14.6,0.046,298.85,72.2,late,1
F00200,M025,2489.27,4.46,2081.32,22.82,0.836,8.9,21.3,0.0,73.89,71.0,late,0
F00201,M037,2001.8,4.17,1682.04,154.28,0.84,1.0,9.2,0.0,432.24,85.0,mid,0
F00202,M081,1758.37,2.61,947.37,1058.06,0.539,22.4,1.3,0.282,327.3,99.1,late,1
F00203,M066,798.92,2.71,797.89,42.43,0.999,13.9,7.4,0.0,2102.65,93.6,late,0
F00204,M025,2706.65,3.4,2122.98,1136.73,0.784,7.0,3.7,0.2,887.98,94.9,early,1
F00205,M081,2816.48,3.35,2816.48,66.52,1.0,31.7,8.1,0.0,13.05,56.0,early,0
F00206,M125,3030.46,3.05,2524.81,438.6,0.833,10.5,6.0,0.146,175.74,62.7,late,1
F00207,M094,2292.17,4.71,2292.17,185.73,1.0,51.2,16.7,0.0,1297.76,69.0,early,0
F00208,M102,2376.02,4.49,1902.75,113.64,0.801,73.5,20.4,0.0,522.54,100.0,late,0
F00209,M001,1988.77,3.26,1825.15,256.68,0.918,18.2,41.3,0.0,472.33,46.5,late,0
F00210,M077,1399.29,3.48,1399.29,6.95,1.0,10.2,3.2,0.0,124.89,67.7,early,0
F00211,M115,1674.03,3.68,1521.2,107.52,0.909,3.3,2.7,0.0,13.53,96.6,mid,0
F00212,M095,1563.77,3.65,1494.38,191.3,0.956,19.9,13.6,0.0,170.06,99.9,late,0
F00213,M102,1659.49,2.54,1297.88,0.0,0.782,6.4,9.2,0.0,595.81,56.2,early,0
F00214,M069,1445.23,2.56,1422.55,133.91,0.984,1.0,33.1,0.0,1690.12,77.1,mid,0
F00215,M008,2303.18,3.35,2303.18,58.67,1.0,93.2,5.9,0.0,464.9,32.6,late,0
F00216,M019,2901.54,4.63,1823.55,841.61,0.628,20.0,9.3,0.095,475.59,87.9,mid,1
F00217,M013,1604.53,4.02,482.75,676.09,0.301,19.9,4.8,0.237,657.37,75.1,late,1
F00218,M013,3039.43,4.15,3039.43,115.52,1.0,29.5,2.4,0.0,927.15,45.3,early,0
F00219,M125,2491.94,3.32,2383.38,50.88,0.956,1.2,20.0,0.0,273.88,78.3,mid,0
F00220,M026,2122.25,3.12,1844.33,0.0,0.869,5.8,12.0,0.0,495.17,61.0,early,0
F00221,M037,500.0,1.89,176.84,190.27,0.354,17.9,11.2,0.315,1539.34,66.9,late,1
F00222,M094,2031.23,3.94,2008.93,0.0,0.989,4.1,8.7,0.0,666.42,89.3,early,0
F00223,M119,2851.43,1.83,2588.7,137.41,0.908,13.4,2.8,0.0,1462.27,100.0,late,0
F00224,M115,2426.76,3.72,2426.76,190.61,1.0,4.3,18.2,0.0,613.42,83.3,mid,0
F00225,M035,1705.58,4.0,1653.8,0.0,0.97,120.7,19.5,0.0,1156.77,72.8,early,0
F00226,M173,2513.93,3.02,2513.93,287.67,1.0,17.7,2.6,0.0,453.69,88.2,late,0
F00227,M194,1867.03,3.78,1583.55,757.95,0.848,29.9,14.8,0.223,841.73,92.1,mid,1
F00228,M143,939.82,4.48,568.31,383.4,0.605,59.6,38.6,0.135,163.85,66.7,late,1
F00229,M165,1765.45,4.28,1011.63,1041.25,0.573,40.0,4.1,0.218,82.46,83.1,early,1
F00230,M179,2700.48,3.88,2513.02,72.75,0.931,1.7,17.6,0.0,617.85,67.3,early,0
F00231,M198,3214.96,5.22,1341.09,890.52,0.417,20.8,1.4,0.283,326.78,37.5,late,1
F00232,M160,1834.1,3.32,1616.52,148.77,0.881,2.4,34.7,0.0,871.22,100.0,early,0
F00233,M193,551.86,2.67,302.67,265.87,0.548,26.7,2.9,0.319,231.31,94.2,mid,1
F00234,M176,2075.15,2.41,1803.21,125.85,0.869,38.2,14.7,0.0,474.77,84.2,mid,0
F00235,M148,1660.07,3.04,1255.59,104.28,0.756,13.7,23.4,0.0,1463.6,54.0,late,0
F00236,M065,1827.35,2.97,1688.8,266.31,0.924,23.6,6.2,0.0,1476.39,82.4,mid,0
F00237,M139,1701.71,4.56,586.83,507.54,0.345,54.1,9.9,0.192,190.91,70.8,late,1
F00238,M123,1438.58,3.81,623.83,271.12,0.434,5.3,4.2,0.194,106.05,68.3,late,1
F00239,M108,1430.77,4.83,1318.36,82.32,0.921,1.0,17.5,0.0,162.42,53.0,mid,0
F00240,M007,2374.62,3.96,2374.62,70.97,1.0,59.2,1.0,0.0,1751.53,97.5,mid,0
F00241,M176,2091.99,3.43,1920.96,187.96,0.918,44.9,29.5,0.0,364.4,70.6,late,0
F00242,M148,1003.81,3.39,795.01,121.71,0.792,5.7,11.0,0.0,280.52,100.0,early,0
F00243,M114,1335.27,2.71,784.51,941.23,0.588,1.9,7.1,0.057,235.07,70.4,early,1
F00244,M151,914.85,3.54,914.85,0.0,1.0,9.1,4.8,0.0,145.05,88.7,early,0
F00245,M163,1815.44,2.35,1815.44,151.52,1.0,22.8,3.6,0.0,283.03,70.9,mid,0
F00246,M070,2079.79,2.45,810.45,585.51,0.39,32.3,13.1,0.163,1399.04,95.5,mid,1
F00247,M176,1212.69,4.0,982.66,530.93,0.81,22.5,20.5,0.131,99.25,99.6,mid,1
F00248,M198,1805.07,3.64,1648.32,0.0,0.913,3.7,8.3,0.0,133.03,87.3,mid,0
F00249,M140,2037.42,3.54,1723.6,58.41,0.846,6.6,2.9,0.0,84.82,87.3,late,0
F00250,M128,1025.57,4.11,1098.91,396.26,1.072,3.3,17.7,0.16,197.53,37.9,early,1
F00251,M012,1716.05,5.05,1449.99,141.15,0.845,79.2,13.9,0.0,1177.83,59.1,early,0
F00252,M131,868.14,3.5,813.74,250.22,0.937,3.2,1.2,0.272,530.83,100.0,late,1
F00253,M019,999.78,3.81,999.78,66.71,1.0,14.0,1.0,0.0,42.56,70.1,mid,0
F00254,M020,675.91,4.46,409.74,116.07,0.606,3.7,1.0,0.22,1554.52,71.8,late,1
F00255,M071,1507.15,5.1,1321.48,44.75,0.877,14.0,17.1,0.0,388.15,70.3,mid,0
F00256,M102,914.94,2.01,914.94,36.45,1.0,8.9,27.5,0.0,42.99,93.8,early,0
