transaction_id,grade,purchase_price_per_kg,sale_price_per_kg,quantity_kg,time_difference_days,price_markup_ratio,merchant_experience_years,market_volatility,season,floor_location,hour_of_day,is_fraud
TXN000052,H3,1.49,2.7,38.91,2.38,1.806,4.8,0.069,off_peak,chinhoyi,2,1
TXN000053,X2,3.04,3.67,58.49,3.67,1.206,4.2,0.137,peak,bulawayo,13,0
TXN000054,T2,2.3,2.51,461.2,12.64,1.094,7.1,0.173,off_peak,mutare,8,0
TXN000055,H3,1.09,1.16,504.91,7.8,1.072,8.0,0.155,peak,bulawayo,14,0
TXN000056,L3,3.66,3.72,766.61,5.21,1.016,0.7,0.148,peak,chinhoyi,8,0
TXN000057,L5,2.72,3.36,721.45,9.08,1.234,2.0,0.106,peak,mutare,20,0
TXN000058,L1,2.45,3.6,20.0,5.23,1.466,3.6,0.225,peak,harare,11,1
TXN000059,A3,4.4,5.89,179.08,9.33,1.34,3.3,0.135,off_peak,harare,6,0
TXN000060,L3,3.41,4.31,422.55,4.12,1.262,1.9,0.093,peak,mutare,14,0
TXN000061,A2,4.69,5.63,50.0,6.93,1.2,3.9,0.123,peak,gweru,5,0
TXN000062,L3,3.35,3.65,58.96,5.65,1.091,1.5,0.131,off_peak,harare,11,0
TXN000063,X5,1.36,1.85,121.11,3.98,1.365,1.8,0.064,peak,gweru,8,0
TXN000064,X5,0.98,1.13,63.36,10.95,1.157,2.4,0.064,peak,harare,13,0
TXN000065,A3,3.56,4.28,50.0,8.61,1.203,0.4,0.097,off_peak,chinhoyi,10,0
TXN000066,L3,3.9,4.07,82.88,8.4,1.044,7.7,0.17,peak,chinhoyi,9,0
TXN000067,L5,2.97,5.99,20.0,0.74,2.013,9.0,0.149,off_peak,chinhoyi,12,1
TXN000068,X2,2.22,2.62,1589.27,5.98,1.183,2.4,0.212,off_peak,harare,11,0
TXN000069,X1,3.17,3.46,628.0,7.39,1.092,0.2,0.176,off_peak,mutare,10,0
TXN000070,T3,1.77,2.1,50.0,10.78,1.191,7.6,0.284,peak,bulawayo,10,0
TXN000071,H2,1.1,1.66,315.96,8.64,1.499,4.9,0.212,off_peak,chinhoyi,7,1
TXN000072,L4,2.84,2.98,600.2,8.51,1.049,9.5,0.096,peak,mutare,10,0
TXN000073,X3,1.98,2.27,491.78,6.79,1.148,0.1,0.168,off_peak,bulawayo,10,0
TXN000074,A2,4.65,5.46,778.88,11.09,1.176,13.1,0.145,peak,harare,8,0
TXN000075,C2,1.99,2.54,65.42,3.02,1.278,0.1,0.262,off_peak,bulawayo,16,0
TXN000076,T3,1.87,2.09,326.37,3.91,1.119,9.1,0.136,off_peak,chinhoyi,4,0
TXN000077,L2,4.3,7.61,142.73,1.07,1.768,4.2,0.185,off_peak,chinhoyi,14,1
TXN000078,B2,0.5,0.87,545.48,4.9,1.732,3.7,0.151,off_peak,bulawayo,10,1
TXN000079,B2,0.56,0.68,106.62,3.89,1.203,1.1,0.095,peak,chinhoyi,12,0
TXN000080,H2,1.22,2.2,104.6,0.81,1.798,7.0,0.159,peak,gweru,14,1
TXN000081,T2,2.18,2.01,947.26,7.48,0.918,0.8,0.124,peak,chinhoyi,8,0
TXN000082,C2,2.05,4.32,226.92,1.68,2.11,1.3,0.264,off_peak,bulawayo,10,1
TXN000083,X3,1.95,2.02,438.89,13.39,1.037,4.1,0.235,peak,gweru,7,0
TXN000084,A1,5.59,6.49,444.43,0.1,1.16,0.1,0.151,peak,bulawayo,14,0
TXN000085,L2,3.92,5.56,127.83,0.67,1.421,0.6,0.166,off_peak,bulawayo,17,1
TXN000086,L1,4.63,6.18,391.24,8.56,1.334,1.3,0.143,peak,gweru,12,0
TXN000087,B1,1.41,1.77,411.53,8.55,1.258,2.6,0.181,peak,gweru,9,0
TXN000088,B2,1.11,1.22,182.31,8.76,1.104,1.0,0.153,off_peak,mutare,8,0
TXN000089,X5,0.92,1.75,139.29,4.66,1.895,3.7,0.149,off_peak,bulawayo,9,1
TXN000090,L3,3.44,3.39,365.09,1.04,0.986,1.9,0.106,off_peak,chinhoyi,19,0
TXN000091,X4,1.5,1.78,421.34,9.0,1.183,16.6,0.085,off_peak,harare,14,0
TXN000092,X2,2.41,2.84,190.83,14.17,1.181,11.6,0.075,peak,harare,11,0
TXN000093,T3,2.15,2.28,127.47,1.54,1.062,0.7,0.155,peak,bulawayo,15,0
TXN000094,H1,2.38,2.54,50.0,10.57,1.067,7.9,0.182,off_peak,bulawayo,6,0
TXN000095,X5,1.46,1.87,50.0,6.16,1.279,6.6,0.143,peak,harare,13,0
TXN000096,A1,4.86,4.84,204.39,2.6,0.996,3.0,0.191,peak,harare,13,0
TXN000097,X1,3.57,4.41,823.01,7.19,1.236,11.3,0.147,peak,mutare,10,0
TXN000098,T2,2.16,2.74,202.69,6.26,1.264,0.1,0.184,off_peak,harare,7,0
TXN000099,X2,2.1,2.15,1194.78,8.08,1.026,3.2,0.092,off_peak,mutare,6,0
TXN000100,A3,4.11,4.56,685.69,1.52,1.111,0.3,0.168,peak,chinhoyi,9,0
TXN000101,L4,2.91,3.47,288.53,2.18,1.192,4.1,0.204,off_peak,chinhoyi,22,0
TXN000102,L3,3.46,4.42,50.0,9.22,1.278,0.8,0.1,off_peak,bulawayo,10,0
TXN000103,A2,4.71,5.88,701.21,6.38,1.248,15.0,0.101,peak,harare,15,0
TXN000104,B2,0.73,0.87,127.46,6.41,1.187,22.4,0.208,off_peak,chinhoyi,9,0
TXN000105,L1,4.82,9.69,455.24,3.44,2.01,3.4,0.105,peak,chinhoyi,15,1
TXN000106,B2,0.9,1.02,1476.13,5.69,1.133,20.8,0.15,off_peak,mutare,10,0
TXN000107,X4,1.46,1.74,66.2,1.94,1.198,2.5,0.116,off_peak,gweru,10,0
TXN000108,L5,3.16,3.61,50.0,10.88,1.145,16.7,0.105,peak,gweru,10,0
TXN000109,X2,2.52,3.53,206.0,1.95,1.402,15.2,0.144,peak,gweru,13,1
TXN000110,H3,1.42,1.71,469.56,5.87,1.201,9.1,0.173,off_peak,bulawayo,21,0
TXN000111,X5,1.42,1.46,155.51,4.86,1.025,6.3,0.197,peak,gweru,10,0
TXN000112,X3,2.68,2.84,67.85,8.93,1.063,0.8,0.068,off_peak,chinhoyi,10,0
TXN000113,H1,2.21,2.67,68.66,4.31,1.207,0.5,0.155,peak,harare,12,0
TXN000114,A2,4.92,7.74,45.63,0.87,1.574,0.1,0.154,off_peak,chinhoyi,9,1
TXN000115,X1,2.85,3.27,102.55,5.85,1.148,0.8,0.145,off_peak,mutare,14,0
TXN000116,A2,4.74,5.54,3128.32,6.86,1.168,6.9,0.112,peak,harare,10,0
TXN000117,A2,4.99,5.37,1785.51,1.51,1.075,4.5,0.126,peak,chinhoyi,10,0
TXN000118,A2,5.08,6.28,103.9,5.6,1.234,4.7,0.125,peak,bulawayo,9,0
TXN000119,T3,1.4,1.9,973.91,8.11,1.353,0.7,0.187,peak,gweru,12,0
TXN000120,L5,2.53,4.97,23.12,3.31,1.965,3.5,0.215,off_peak,bulawayo,13,1
TXN000121,L1,4.73,4.78,528.72,6.11,1.009,22.0,0.069,peak,chinhoyi,23,0
TXN000122,X1,1.64,2.57,31.36,6.76,1.573,0.5,0.143,peak,bulawayo,9,1
TXN000123,L2,4.06,4.39,202.61,5.9,1.08,6.9,0.097,peak,gweru,11,0
TXN000124,C1,2.64,2.87,1087.28,4.78,1.09,1.1,0.136,off_peak,gweru,17,0
TXN000125,A2,4.69,5.41,206.04,4.01,1.153,0.8,0.138,off_peak,mutare,8,0
TXN000126,X2,1.54,2.25,660.16,0.41,1.457,0.9,0.154,off_peak,chinhoyi,9,1
TXN000127,B2,0.68,0.72,342.29,6.59,1.07,4.6,0.149,off_peak,chinhoyi,15,0
TXN000128,C2,1.67,1.95,286.52,9.35,1.168,2.4,0.091,off_peak,bulawayo,21,0
TXN000129,H1,2.35,4.06,231.33,0.95,1.728,2.4,0.075,off_peak,chinhoyi,8,1
TXN000130,L2,4.22,4.95,326.06,8.22,1.174,2.8,0.169,peak,bulawayo,12,0
TXN000131,X3,1.99,2.17,250.91,9.62,1.089,2.2,0.123,off_peak,chinhoyi,15,0
TXN000132,X1,2.73,2.96,1216.28,11.3,1.086,0.1,0.214,off_peak,harare,8,0
TXN000133,L3,3.4,4.04,50.0,4.46,1.189,4.4,0.132,off_peak,gweru,11,0
TXN000134,X5,1.25,1.41,504.67,4.89,1.121,4.2,0.198,off_peak,harare,3,0
TXN000135,A2,2.73,5.23,520.16,3.36,1.917,5.7,0.186,off_peak,bulawayo,9,1
TXN000136,B2,0.57,0.66,169.47,10.36,1.161,0.9,0.04,off_peak,bulawayo,8,0
TXN000137,B1,1.22,1.41,50.0,5.76,1.157,4.2,0.075,peak,bulawayo,8,0
TXN000138,C2,0.87,2.25,108.98,2.6,2.598,0.9,0.2,off_peak,bulawayo,6,1
TXN000139,L4,2.55,2.9,430.57,4.03,1.136,1.3,0.112,off_peak,chinhoyi,8,0
TXN000140,X5,2.02,2.19,1313.36,5.78,1.083,2.6,0.194,peak,gweru,12,0
TXN000141,T1,2.96,3.69,105.99,11.97,1.247,0.2,0.115,off_peak,bulawayo,13,0
TXN000142,B1,0.7,0.88,53.16,2.62,1.252,0.1,0.248,off_peak,gweru,9,0
TXN000143,A1,5.35,6.53,216.11,5.87,1.22,1.6,0.192,off_peak,gweru,12,0
TXN000144,X5,1.93,2.2,525.64,4.54,1.141,6.9,0.197,peak,gweru,12,0
TXN000145,L5,2.42,2.58,985.54,8.33,1.067,0.2,0.11,peak,harare,10,0
TXN000146,X1,2.9,3.29,623.89,6.37,1.136,4.1,0.1,off_peak,bulawayo,23,0
TXN000147,L3,3.33,3.67,583.73,8.17,1.101,9.4,0.103,peak,chinhoyi,6,0
TXN000148,T1,2.84,3.38,659.7,10.71,1.19,1.2,0.226,peak,chinhoyi,10,0
TXN000149,L1,4.43,8.77,324.73,0.86,1.978,0.9,0.156,peak,mutare,10,1
TXN000150,X1,3.3,3.76,357.72,5.91,1.139,1.5,0.063,peak,gweru,9,0
TXN000151,A1,5.73,6.56,144.01,6.35,1.145,13.0,0.061,peak,harare,14,0
TXN000152,X3,1.26,2.04,24.94,5.11,1.615,0.4,0.117,peak,gweru,6,1
TXN000153,X5,1.68,1.86,255.82,5.74,1.108,4.2,0.074,peak,bulawayo,18,0
TXN000154,L2,4.21,5.53,145.18,9.07,1.314,7.5,0.107,peak,gweru,9,0
TXN000155,B1,1.2,1.58,537.34,3.15,1.315,0.8,0.125,peak,chinhoyi,13,0
TXN000156,H2,1.37,2.29,481.9,2.89,1.667,6.9,0.127,off_peak,mutare,11,1
TXN000157,A1,3.6,5.86,20.0,5.9,1.629,2.6,0.192,peak,gweru,4,1
TXN000158,H2,1.1,1.64,20.0,2.9,1.486,6.2,0.198,off_peak,chinhoyi,16,1
TXN000159,C2,1.51,1.82,767.37,8.41,1.212,11.5,0.147,off_peak,bulawayo,18,0
TXN000160,H1,1.2,1.38,50.0,4.49,1.148,10.0,0.204,peak,chinhoyi,7,0
TXN000161,X1,3.3,4.13,502.03,6.41,1.252,0.2,0.148,off_peak,mutare,6,0
TXN000162,B1,1.39,1.72,448.78,2.78,1.242,4.6,0.157,off_peak,gweru,11,0
TXN000163,A2,4.27,5.34,624.75,9.31,1.25,4.9,0.135,off_peak,chinhoyi,12,0
TXN000164,B1,0.69,1.05,469.12,6.21,1.53,8.3,0.165,off_peak,bulawayo,22,1
TXN000165,B2,1.23,1.87,109.64,2.27,1.522,1.4,0.203,peak,bulawayo,10,1
TXN000166,L3,3.49,4.01,1995.15,5.09,1.151,12.9,0.19,peak,chinhoyi,14,0
TXN000167,A2,4.91,4.91,88.44,9.84,1.001,7.7,0.166,off_peak,chinhoyi,11,0
TXN000168,L1,4.86,6.03,445.13,10.0,1.241,6.4,0.094,peak,bulawayo,10,0
TXN000169,X5,1.65,1.94,409.74,10.41,1.17,1.1,0.156,peak,mutare,9,0
TXN000170,C1,2.54,2.97,1516.71,6.1,1.171,0.4,0.13,off_peak,gweru,11,0
TXN000171,L3,3.47,4.14,214.18,8.59,1.195,11.4,0.197,off_peak,gweru,9,0
TXN000172,X1,3.02,3.22,427.03,9.17,1.065,2.5,0.163,peak,bulawayo,15,0
TXN000173,H3,1.84,2.14,538.22,10.47,1.163,5.1,0.116,peak,chinhoyi,10,0
TXN000174,T3,2.27,2.69,552.44,6.53,1.185,6.1,0.14,peak,mutare,11,0
TXN000175,H3,1.61,1.79,834.26,4.41,1.111,4.8,0.168,peak,gweru,9,0
TXN000176,B1,1.17,1.44,197.3,0.69,1.232,0.7,0.151,peak,mutare,14,0
TXN000177,X5,1.09,1.1,712.37,5.61,1.007,1.0,0.161,off_peak,harare,11,0
TXN000178,A3,3.94,4.41,66.65,5.94,1.12,0.6,0.155,peak,gweru,12,0
TXN000179,X1,2.7,3.54,322.87,6.12,1.312,0.1,0.15,peak,bulawayo,10,0
TXN000180,B2,0.73,0.9,50.0,8.25,1.231,3.1,0.214,peak,gweru,11,0
TXN000181,L4,3.2,5.09,20.17,1.73,1.593,0.5,0.094,peak,chinhoyi,9,1
TXN000182,X1,3.12,4.03,523.83,8.49,1.292,7.7,0.121,off_peak,bulawayo,3,0
TXN000183,L3,3.19,3.75,50.0,9.19,1.177,3.7,0.151,peak,chinhoyi,15,0
TXN000184,L2,3.7,4.25,97.96,5.03,1.149,16.4,0.05,off_peak,mutare,12,0
TXN000185,B2,0.83,1.08,474.76,10.74,1.298,2.6,0.31,peak,harare,18,0
TXN000186,A1,4.92,6.34,344.5,6.94,1.288,0.7,0.167,peak,mutare,15,0
TXN000187,L2,3.56,3.19,357.38,6.72,0.896,10.3,0.062,peak,harare,10,0
TXN000188,B2,1.03,1.11,51.9,7.52,1.078,8.3,0.084,off_peak,harare,16,0
TXN000189,L1,4.65,5.23,523.14,2.91,1.126,9.0,0.179,off_peak,harare,14,0
TXN000190,L3,3.81,4.44,104.38,3.69,1.164,4.3,0.174,peak,harare,10,0
TXN000191,X1,2.1,3.47,82.82,4.97,1.65,9.5,0.182,peak,bulawayo,9,1
TXN000192,A1,6.05,7.88,450.49,6.07,1.303,2.8,0.116,off_peak,gweru,19,0
TXN000193,T3,2.23,2.67,550.42,11.35,1.197,3.2,0.18,off_peak,harare,6,0
TXN000194,X4,1.71,2.14,1722.69,12.13,1.25,3.3,0.199,peak,chinhoyi,7,0
TXN000195,X4,1.41,1.69,514.93,4.0,1.199,0.3,0.098,peak,harare,11,0
TXN000196,L2,3.95,4.68,268.93,4.86,1.185,1.6,0.057,peak,harare,13,0
TXN000197,X4,1.93,2.47,593.37,8.93,1.28,14.5,0.177,peak,mutare,8,0
TXN000198,T1,2.96,3.43,57.2,4.55,1.159,8.2,0.125,off_peak,harare,22,0
TXN000199,X3,2.34,2.53,50.0,1.0,1.082,10.1,0.154,off_peak,gweru,9,0
TXN000200,X1,3.23,3.89,558.49,6.52,1.205,12.1,0.227,off_peak,chinhoyi,14,0
TXN000201,H3,1.8,3.53,575.45,0.57,1.96,8.3,0.183,peak,mutare,14,1
TXN000202,X3,2.3,2.28,349.12,9.73,0.992,1.7,0.193,peak,harare,13,0
TXN000203,C1,2.29,2.43,272.95,2.98,1.061,3.3,0.141,off_peak,harare,12,0
TXN000204,X1,1.91,2.9,46.55,9.4,1.518,6.1,0.134,off_peak,gweru,10,1
TXN000205,L4,3.31,4.12,462.64,6.01,1.245,21.3,0.134,peak,harare,11,0
TXN000206,B2,1.12,1.76,41.63,1.41,1.57,3.2,0.096,peak,harare,12,1
TXN000207,C1,2.26,2.75,448.03,0.1,1.219,11.9,0.127,off_peak,mutare,10,0
TXN000208,X4,2.11,2.21,694.7,10.22,1.049,5.2,0.224,off_peak,chinhoyi,16,0
TXN000209,A1,5.52,6.73,1341.64,7.55,1.22,7.0,0.105,peak,chinhoyi,14,0
TXN000210,T1,2.88,3.07,176.91,4.14,1.067,4.7,0.161,peak,bulawayo,13,0
TXN000211,A2,5.58,6.39,174.99,2.66,1.145,4.3,0.15,peak,harare,8,0
TXN000212,L1,4.84,5.21,977.87,7.24,1.077,4.2,0.208,off_peak,chinhoyi,20,0
TXN000213,H3,1.42,1.88,262.63,6.94,1.326,3.1,0.186,peak,mutare,6,0
TXN000214,C2,1.56,1.8,143.74,6.19,1.155,0.2,0.208,peak,bulawayo,14,0
TXN000215,A1,5.24,5.35,161.97,9.95,1.022,9.4,0.066,peak,bulawayo,12,0
TXN000216,L1,2.42,7.97,280.28,0.14,3.291,4.1,0.166,peak,harare,13,1
TXN000217,C2,2.25,2.91,81.35,9.5,1.292,5.1,0.178,off_peak,gweru,6,0
TXN000218,T1,3.33,3.66,127.85,8.4,1.098,2.8,0.203,peak,mutare,15,0
TXN000219,L5,2.59,3.18,307.32,10.12,1.228,6.6,0.112,off_peak,chinhoyi,13,0
TXN000220,T2,2.34,2.61,158.63,10.71,1.113,0.8,0.171,off_peak,gweru,5,0
TXN000221,H3,1.94,2.08,295.77,8.26,1.071,1.0,0.12,peak,chinhoyi,11,0
TXN000222,A1,5.08,5.57,853.74,8.29,1.096,6.3,0.096,off_peak,chinhoyi,15,0
TXN000223,X4,1.69,1.83,50.0,8.18,1.08,5.9,0.137,off_peak,bulawayo,6,0
TXN000224,A1,5.12,5.11,470.81,11.35,0.999,5.5,0.177,peak,harare,5,0
TXN000225,A2,4.3,5.06,99.89,4.12,1.176,8.7,0.128,peak,gweru,14,0
TXN000226,L3,3.33,3.94,50.0,7.12,1.183,21.5,0.185,off_peak,harare,12,0
TXN000227,H1,1.71,1.41,2447.78,4.38,0.822,1.7,0.174,peak,gweru,11,0
TXN000228,X2,2.66,2.86,498.45,12.2,1.078,2.3,0.122,peak,harare,14,0
TXN000229,L5,2.72,3.27,354.06,8.87,1.203,16.6,0.106,off_peak,harare,14,0
TXN000230,H3,1.47,1.77,238.9,7.78,1.199,5.6,0.161,peak,gweru,6,0
TXN000231,L3,2.87,3.1,160.49,6.97,1.083,6.2,0.01,off_peak,gweru,12,0
TXN000232,X2,2.84,3.31,184.75,1.63,1.164,4.5,0.172,peak,mutare,9,0
TXN000233,B2,1.32,1.77,85.48,10.32,1.338,6.4,0.173,off_peak,harare,12,0
TXN000234,H2,1.48,1.85,179.14,9.4,1.254,1.7,0.136,off_peak,mutare,11,0
TXN000235,A2,5.12,6.4,838.13,0.33,1.25,1.3,0.103,peak,bulawayo,10,0
TXN000236,H2,1.23,1.26,50.0,5.13,1.021,5.9,0.206,peak,gweru,8,0
TXN000237,L5,1.76,4.71,20.0,2.09,2.682,0.1,0.177,off_peak,bulawayo,12,1
TXN000238,X5,1.18,1.17,225.52,4.74,0.993,8.8,0.169,off_peak,mutare,12,0
TXN000239,L3,3.45,4.07,356.9,5.1,1.18,9.6,0.12,off_peak,mutare,14,0
TXN000240,C2,2.3,2.99,865.65,3.64,1.299,0.7,0.153,peak,bulawayo,10,0
TXN000241,A2,4.8,5.16,135.14,11.41,1.074,1.0,0.111,peak,gweru,9,0
TXN000242,B2,1.08,1.3,50.0,2.85,1.205,7.1,0.161,peak,gweru,14,0
TXN000243,T3,2.08,2.39,1265.86,2.33,1.15,9.7,0.179,off_peak,gweru,12,0
TXN000244,A1,5.08,5.82,106.87,1.8,1.145,19.1,0.252,peak,gweru,11,0
TXN000245,A3,4.56,4.79,617.53,8.78,1.05,1.8,0.158,off_peak,gweru,9,0
TXN000246,H2,1.39,1.52,353.1,7.18,1.091,4.9,0.129,off_peak,mutare,10,0
TXN000247,L2,3.9,5.12,340.89,17.87,1.311,2.7,0.157,off_peak,harare,15,0
TXN000248,A3,4.44,5.38,276.62,8.06,1.212,0.1,0.116,off_peak,bulawayo,11,0
TXN000249,A2,4.72,4.61,143.91,6.61,0.977,1.2,0.111,off_peak,chinhoyi,10,0
TXN000250,C1,2.43,2.71,421.52,2.07,1.114,1.0,0.145,off_peak,harare,10,0
TXN000251,T1,2.81,2.95,103.99,3.54,1.05,2.2,0.21,peak,mutare,10,0
TXN000252,X5,1.56,1.91,221.17,10.16,1.223,3.8,0.069,off_peak,bulawayo,9,0
TXN000253,L1,4.66,5.61,197.1,9.88,1.206,1.7,0.238,off_peak,bulawayo,22,0
TXN000254,C1,1.55,2.33,205.05,6.98,1.504,0.1,0.116,peak,gweru,11,1
TXN000255,X1,3.54,3.75,1148.73,6.12,1.059,3.2,0.152,off_peak,chinhoyi,7,0
TXN000256,L2,3.54,4.13,298.27,0.75,1.167,4.5,0.125,peak,gweru,11,0
TXN000257,L1,4.59,5.16,76.09,2.21,1.125,0.1,0.18,off_peak,harare,9,0
TXN000258,H3,1.54,1.83,1354.24,5.01,1.187,0.2,0.189,off_peak,mutare,12,0
TXN000259,L1,4.19,4.08,572.14,5.12,0.974,7.5,0.062,off_peak,harare,9,0
TXN000260,T2,2.27,2.67,152.56,6.76,1.174,0.8,0.231,peak,bulawayo,8,0
TXN000261,L5,2.64,3.11,459.83,7.84,1.178,0.3,0.152,off_peak,gweru,9,0
TXN000262,H3,1.1,1.19,1124.54,13.76,1.083,0.3,0.196,peak,bulawayo,19,0
TXN000263,T3,1.58,1.98,248.29,6.54,1.252,2.2,0.08,off_peak,gweru,11,0
TXN000264,X5,1.44,1.64,152.38,1.75,1.139,2.3,0.103,peak,chinhoyi,13,0
TXN000265,T1,3.36,4.07,209.91,9.08,1.21,3.3,0.152,off_peak,bulawayo,8,0
TXN000266,X3,2.33,2.59,931.76,7.3,1.111,4.7,0.106,off_peak,harare,14,0
TXN000267,L1,4.39,5.12,139.2,9.34,1.166,8.1,0.155,peak,chinhoyi,14,0
TXN000268,B1,1.35,1.68,158.74,3.4,1.244,2.3,0.208,off_peak,gweru,14,0
TXN000269,H3,1.02,1.3,1160.74,4.66,1.277,0.5,0.134,off_peak,gweru,11,0
TXN000270,L5,2.11,2.4,1302.26,5.77,1.137,14.4,0.137,off_peak,bulawayo,11,0
TXN000271,X4,1.59,2.05,50.0,6.32,1.287,7.0,0.232,off_peak,gweru,6,0
TXN000272,B1,1.11,1.41,562.89,6.64,1.274,5.8,0.162,peak,mutare,8,0
TXN000273,L2,4.03,5.44,54.69,5.62,1.351,7.7,0.184,off_peak,harare,9,0
TXN000274,A3,4.51,5.3,274.23,6.54,1.175,8.5,0.225,off_peak,mutare,20,0
TXN000275,X4,0.55,1.78,20.0,2.77,3.231,19.2,0.224,off_peak,harare,9,1
