grower_id,location,gender,loan_amount,hectarage,yields,merchant_contractor,side_marketer_effect,yield_per_ha,loan_per_ha,grade_normally_produced,mass_usually_produced_kg,default_level,default_prob
G00060,Mashonaland Central,M,16984.29,2.22,934.88,Tobacco Sales Company (TSC),0.7,420.7,7643.7,C1,1099.5,1,0.99
G00061,Matabeleland South,M,4278.03,4.74,2149.94,Tian Ze Tobacco,1.0,453.5,902.3,X5,1839.7,1,0.99
G00062,Mashonaland Central,F,131.73,3.52,2268.36,Cut Rag Processors,0.0,645.2,37.5,X1,2254.6,0,0.218018
G00063,Manicaland,M,1001.94,4.48,4443.3,Onhardt Tobacco (Pvt) Ltd,0.0,990.8,223.4,C2,4224.8,0,0.168386
G00064,Manicaland,F,2117.75,1.51,448.79,Curverid Tobacco (Pvt) Ltd,0.1,298.1,1406.8,H3,513.3,1,0.726299
G00065,Manicaland,M,2867.95,1.13,1022.75,Premium Leaf Zimbabwe,1.0,901.7,2528.4,X4,976.7,0,0.650834
G00066,Manicaland,M,2730.59,3.44,1878.82,Tian Ze Tobacco,0.1,546.4,794.1,X5,1795.1,0,0.254406
G00067,Mashonaland Central,M,458.31,1.86,2489.35,Intercontinental Leaf Tobacco,0.7,1339.1,246.5,A3,2215.1,1,0.286402
G00068,Mashonaland Central,F,2242.56,5.58,4460.02,Northern Tobacco (Pvt) Ltd,0.7,798.9,401.7,H2,3844.8,0,0.521377
G00069,Masvingo,F,988.61,6.45,4541.67,Curverid Tobacco (Pvt) Ltd,0.5,704.1,153.3,A1,5319.7,1,0.722425
G00070,Matabeleland South,M,4700.26,2.47,1298.45,Shasha Tobacco (Pvt) Ltd,0.5,525.9,1903.6,T1,1316.3,1,0.820025
G00071,Masvingo,F,1256.24,1.42,1523.22,Northern Tobacco (Pvt) Ltd,0.3,1071.0,883.3,H1,1340.9,0,0.353455
G00072,Mashonaland West,M,561.69,0.45,270.51,Cut Rag Processors,0.3,594.6,1234.7,C2,286.6,0,0.529849
G00073,Matabeleland South,F,490.74,6.79,7293.82,Tian Ze Tobacco,0.5,1073.9,72.3,X2,7912.3,0,0.313598
G00074,Mashonaland Central,M,1811.25,6.64,2643.14,Zimbabwe Leaf Tobacco (ZLT),0.7,397.8,272.6,H2,3077.5,0,0.705134
G00075,Mashonaland West,M,231.08,11.71,8834.96,Northern Tobacco (Pvt) Ltd,0.7,754.7,19.7,A3,7361.9,1,0.669447
G00076,Mashonaland West,F,7575.81,6.64,6551.94,Intercontinental Leaf Tobacco,0.5,986.6,1140.7,X2,5523.3,1,0.352206
G00077,Mashonaland West,F,719.65,3.32,1995.6,Aqua Tobacco (Pvt) Ltd,0.5,601.7,217.0,H3,1868.4,0,0.480764
G00078,Manicaland,F,835.04,4.36,5939.57,Curverid Tobacco (Pvt) Ltd,0.3,1361.9,191.5,X4,5789.1,0,0.116994
G00079,Masvingo,F,2507.35,8.78,7094.32,Northern Tobacco (Pvt) Ltd,0.0,807.8,285.5,C1,7731.2,0,0.324269
G00080,Mashonaland West,M,563.64,3.49,2841.14,Intercontinental Leaf Tobacco,0.5,814.0,161.5,A2,3184.9,0,0.333981
G00081,Mashonaland Central,F,2380.15,5.91,9462.87,Premium Leaf Zimbabwe,1.0,1602.1,403.0,H1,7794.7,1,0.429471
G00082,Masvingo,M,522.6,3.2,3031.84,Cut Rag Processors,0.1,948.4,163.5,X2,3161.3,0,0.287112
G00083,Mashonaland Central,M,1912.31,1.57,592.52,Premium Leaf International,0.5,377.3,1217.7,B1,549.3,1,0.99
G00084,Matabeleland South,F,5306.57,2.42,2750.25,Onhardt Tobacco (Pvt) Ltd,0.5,1136.7,2193.2,X3,2276.4,1,0.741827
G00085,Manicaland,F,1923.12,2.84,2787.72,Aqua Tobacco (Pvt) Ltd,0.0,981.9,677.4,X2,3069.8,0,0.224501
G00086,Matabeleland South,F,194.06,0.64,470.73,Tobacco Sales Company (TSC),0.1,732.1,301.8,L5,483.2,0,0.709318
G00087,Masvingo,F,2234.98,2.98,3795.31,Tobacco Sales Company (TSC),0.3,1273.3,749.8,X2,3806.7,0,0.31944
G00088,Masvingo,F,258.94,3.03,3602.12,Northern Tobacco (Pvt) Ltd,0.1,1189.6,85.5,C1,3800.4,0,0.085406
G00089,Mashonaland West,M,2211.44,3.23,3893.06,Onhardt Tobacco (Pvt) Ltd,0.3,1205.9,685.0,T1,4620.6,0,0.196591
G00090,Manicaland,F,1917.12,5.84,3383.13,Mashonaland Tobacco Company (MTC),0.2,579.6,328.5,L4,3942.0,0,0.357419
G00091,Mashonaland West,M,15048.95,2.86,1327.54,Zimbabwe Leaf Tobacco (ZLT),0.7,464.9,5270.6,C2,1367.2,1,0.99
G00092,Mashonaland West,F,829.6,3.17,1521.87,Shasha Tobacco (Pvt) Ltd,0.2,480.1,261.7,X3,1572.2,1,0.566132
G00093,Mashonaland West,F,672.35,3.14,3105.9,Curverid Tobacco (Pvt) Ltd,0.5,988.2,213.9,H2,3268.2,0,0.282068
G00094,Manicaland,M,177.54,1.75,1655.05,Premium Leaf International,1.0,947.7,101.7,T1,1918.3,1,0.450657
G00095,Masvingo,F,1274.38,10.27,6563.4,Premium Leaf International,0.2,639.1,124.1,L3,6807.4,0,0.072822
G00096,Matabeleland South,F,1899.63,4.13,1555.05,Zimbabwe Leaf Tobacco (ZLT),0.5,377.0,460.5,C2,1649.4,1,0.722297
G00097,Mashonaland Central,M,2289.13,1.36,1665.92,Cut Rag Processors,0.5,1221.9,1679.0,X5,1949.6,1,0.623595
G00098,Masvingo,F,1767.12,1.22,1691.47,Premium Leaf Zimbabwe,1.0,1384.3,1446.2,L3,1908.8,1,0.734379
G00099,Manicaland,F,678.33,5.11,2963.16,Universal Leaf / ZLT,0.0,580.1,132.8,X3,3133.2,1,0.275982
G00100,Manicaland,F,2649.57,4.94,3688.42,Aqua Tobacco (Pvt) Ltd,0.7,746.7,536.4,X2,4266.7,1,0.780829
G00101,Mashonaland West,M,2453.38,5.82,2490.92,Aqua Tobacco (Pvt) Ltd,0.5,427.8,421.4,X4,2855.5,1,0.827504
G00102,Manicaland,F,8058.2,1.72,1709.43,Cut Rag Processors,0.1,991.8,4675.3,X1,1956.4,0,0.292877
G00103,Mashonaland West,F,1141.75,4.14,1481.3,Tian Ze Tobacco,0.5,357.5,275.6,A2,1550.6,1,0.57375
G00104,Matabeleland South,F,2371.77,2.41,269.51,Aqua Tobacco (Pvt) Ltd,0.5,111.6,982.3,X4,264.2,1,0.935819
G00105,Mashonaland Central,F,2234.07,2.47,2442.25,Mashonaland Tobacco Company (MTC),0.3,988.7,904.5,H2,2404.0,0,0.154912
G00106,Masvingo,M,1677.46,4.41,1628.22,Shasha Tobacco (Pvt) Ltd,0.3,369.0,380.2,T3,1348.4,1,0.611914
G00107,Mashonaland West,F,648.35,4.1,2574.75,Onhardt Tobacco (Pvt) Ltd,0.2,628.5,158.3,X5,2210.2,0,0.232612
G00108,Mashonaland West,F,18830.03,2.96,4477.42,Premium Leaf Zimbabwe,0.2,1510.3,6351.6,T1,4350.4,1,0.489218
G00109,Masvingo,F,1400.83,2.44,2024.39,Premium Leaf International,0.1,829.9,574.3,T1,1860.1,1,0.266515
G00110,Masvingo,F,8551.31,1.47,932.69,Intercontinental Leaf Tobacco,0.7,635.1,5822.9,B2,1052.0,1,0.99
G00111,Manicaland,M,100.0,7.47,11670.16,Mashonaland Tobacco Company (MTC),0.2,1561.4,13.4,L4,12679.3,0,0.223013
G00112,Manicaland,M,1587.05,1.21,188.87,Premium Leaf Zimbabwe,0.5,155.9,1309.9,H1,208.0,1,0.99
G00113,Mashonaland West,M,2901.13,2.74,1061.38,Universal Leaf / ZLT,1.0,387.5,1059.2,T1,1025.8,1,0.99
G00114,Mashonaland West,M,1797.86,9.98,2384.66,Intercontinental Leaf Tobacco,0.7,239.0,180.2,X3,2149.2,0,0.73159
G00115,Masvingo,F,605.68,1.77,864.96,Mashonaland Tobacco Company (MTC),0.7,488.1,341.8,B1,952.2,0,0.823758
G00116,Matabeleland South,F,13131.72,1.82,1005.94,Universal Leaf / ZLT,1.0,552.3,7210.1,B2,897.2,1,0.981553
G00117,Manicaland,F,3545.15,2.38,2357.98,Mashonaland Tobacco Company (MTC),0.1,992.7,1492.5,H3,2793.5,1,0.460272
G00118,Mashonaland West,F,950.71,8.97,13718.93,Mashonaland Tobacco Company (MTC),0.3,1530.0,106.0,T2,15070.9,0,0.198858
G00119,Mashonaland Central,F,1562.21,1.52,1423.68,Northern Tobacco (Pvt) Ltd,0.1,934.5,1025.4,B2,1174.0,1,0.21204
G00120,Manicaland,F,702.9,5.68,6026.72,Aqua Tobacco (Pvt) Ltd,0.7,1060.8,123.7,L5,7038.9,0,0.310326
G00121,Manicaland,M,717.24,11.6,4466.65,Aqua Tobacco (Pvt) Ltd,0.7,385.2,61.9,T1,4823.0,1,0.688496
G00122,Masvingo,M,1822.54,2.78,3865.48,Universal Leaf / ZLT,0.5,1392.7,656.6,L3,3643.3,1,0.488739
G00123,Mashonaland Central,M,7177.02,0.6,316.4,Northern Tobacco (Pvt) Ltd,0.7,525.0,11909.7,X2,333.9,1,0.613932
G00124,Mashonaland West,F,6214.39,1.67,2068.02,Tobacco Sales Company (TSC),0.5,1240.3,3727.1,L5,2065.8,1,0.555327
G00125,Mashonaland West,M,820.6,1.7,1434.91,Cut Rag Processors,0.1,842.7,481.9,A3,1678.4,0,0.01
G00126,Manicaland,M,1246.19,6.33,4896.55,Onhardt Tobacco (Pvt) Ltd,0.7,773.5,196.9,X5,4565.2,1,0.519931
G00127,Masvingo,F,1595.73,3.19,1312.3,Aqua Tobacco (Pvt) Ltd,0.7,411.1,499.9,X3,1441.9,1,0.812341
G00128,Mashonaland West,M,126.14,6.49,2342.17,Cut Rag Processors,0.1,361.1,19.4,T1,2774.3,1,0.613688
G00129,Mashonaland West,F,1324.98,2.36,1979.97,Northern Tobacco (Pvt) Ltd,0.5,839.6,561.9,B1,1598.4,0,0.435348
G00130,Masvingo,F,1025.85,4.49,3667.78,Cut Rag Processors,0.2,816.0,228.2,T1,4056.8,1,0.098901
G00131,Mashonaland Central,F,85489.04,4.44,4308.55,Premium Leaf Zimbabwe,1.0,969.3,19232.7,L1,3817.2,0,0.691882
G00132,Masvingo,M,1699.19,2.96,2453.67,Shasha Tobacco (Pvt) Ltd,0.3,829.7,574.5,A2,2033.8,0,0.304899
G00133,Mashonaland West,F,8809.09,4.07,4762.88,Northern Tobacco (Pvt) Ltd,0.1,1169.2,2162.4,L1,5056.4,1,0.594242
G00134,Masvingo,F,2231.36,0.52,318.38,Shasha Tobacco (Pvt) Ltd,0.2,607.1,4254.7,X5,330.1,0,0.530482
G00135,Manicaland,M,2615.38,2.11,1024.55,Curverid Tobacco (Pvt) Ltd,0.5,486.4,1241.6,L1,972.5,1,0.832839
G00136,Masvingo,F,742.72,0.66,1433.31,Premium Leaf International,0.5,2166.5,1122.7,A2,1274.4,0,0.553433
G00137,Masvingo,M,1265.89,5.96,4143.51,Northern Tobacco (Pvt) Ltd,0.7,695.2,212.4,C1,4410.3,1,0.769838
G00138,Manicaland,F,3389.22,7.77,5002.7,Northern Tobacco (Pvt) Ltd,0.2,643.7,436.1,C2,5200.9,0,0.216049
G00139,Matabeleland South,F,668.6,1.26,974.05,Cut Rag Processors,0.2,770.3,528.7,A1,1003.7,0,0.536429
G00140,Masvingo,M,138.37,7.43,7473.02,Zimbabwe Leaf Tobacco (ZLT),0.2,1005.2,18.6,L2,7449.0,0,0.295695
G00141,Matabeleland South,F,1600.4,4.24,5750.44,Mashonaland Tobacco Company (MTC),0.1,1356.2,377.4,H3,5282.5,0,0.333907
G00142,Masvingo,F,1277.73,1.51,1271.26,Tobacco Sales Company (TSC),1.0,839.7,844.0,X3,1175.6,0,0.448305
G00143,Mashonaland Central,M,35286.39,0.85,653.84,Premium Leaf International,0.2,771.2,41622.1,L1,572.1,0,0.697071
G00144,Mashonaland Central,F,7768.48,2.9,1972.72,Curverid Tobacco (Pvt) Ltd,0.5,681.2,2682.7,B2,1941.6,1,0.690298
G00145,Mashonaland West,F,6346.25,2.43,1808.54,Premium Leaf Zimbabwe,0.0,744.3,2611.9,A1,1950.7,0,0.437628
G00146,Mashonaland Central,F,1613.22,6.35,7166.73,Cut Rag Processors,0.0,1129.4,254.2,T1,6144.7,0,0.018487
G00147,Manicaland,M,185.74,5.2,4095.18,Universal Leaf / ZLT,0.2,787.9,35.7,L1,3649.8,0,0.24972
G00148,Mashonaland Central,F,25933.45,5.73,2103.68,Mashonaland Tobacco Company (MTC),0.5,367.4,4529.1,L4,2032.9,1,0.99
G00149,Mashonaland West,F,2854.84,4.36,6610.05,Premium Leaf Zimbabwe,1.0,1516.0,654.7,H2,7348.4,0,0.74238
G00150,Manicaland,M,5622.72,1.22,494.95,Mashonaland Tobacco Company (MTC),0.0,407.1,4625.1,T3,416.3,1,0.835238
G00151,Mashonaland Central,M,6288.14,2.53,1775.69,Aqua Tobacco (Pvt) Ltd,0.2,702.3,2487.1,X4,1632.5,1,0.454073
G00152,Mashonaland West,M,364.2,4.94,2559.87,Tobacco Sales Company (TSC),0.5,518.3,73.7,L2,2995.4,1,0.691758
G00153,Manicaland,M,1113.25,3.93,2845.96,Premium Leaf Zimbabwe,0.0,723.9,283.2,T3,2766.6,0,0.271806
G00154,Mashonaland Central,M,1165.7,7.21,2680.69,Aqua Tobacco (Pvt) Ltd,0.5,371.6,161.6,L5,2491.1,0,0.706441
G00155,Manicaland,F,441.28,5.43,1582.62,Mashonaland Tobacco Company (MTC),0.5,291.3,81.2,L5,1446.3,1,0.580146
G00156,Mashonaland Central,F,1372.19,3.42,1898.17,Cut Rag Processors,0.2,554.7,401.0,X4,1728.8,1,0.361932
G00157,Manicaland,F,442.95,7.71,2399.35,Universal Leaf / ZLT,0.7,311.2,57.5,L3,2043.3,0,0.711765
G00158,Manicaland,M,1011.6,1.58,1690.75,Shasha Tobacco (Pvt) Ltd,1.0,1067.4,638.6,B1,1836.5,0,0.402584
G00159,Mashonaland West,M,2765.83,0.61,394.59,Premium Leaf International,0.1,642.8,4506.0,C2,388.5,0,0.754093
G00160,Manicaland,F,383.33,2.3,571.74,Northern Tobacco (Pvt) Ltd,0.0,249.1,167.0,T3,681.3,0,0.392965
G00161,Mashonaland West,M,3541.61,9.32,2327.77,Universal Leaf / ZLT,0.1,249.9,380.1,T1,2032.3,0,0.380602
G00162,Mashonaland Central,M,2638.84,0.24,239.28,Tian Ze Tobacco,0.5,1008.2,11118.5,L3,270.0,1,0.614625
G00163,Mashonaland West,M,2217.28,0.45,475.85,Zimbabwe Leaf Tobacco (ZLT),0.1,1067.3,4973.0,A1,419.7,1,0.553755
G00164,Manicaland,F,2521.02,1.55,1980.81,Northern Tobacco (Pvt) Ltd,0.7,1280.4,1629.6,L2,1988.4,1,0.555484
G00165,Mashonaland West,F,494.53,2.29,848.04,Premium Leaf Zimbabwe,1.0,369.8,215.6,A1,945.8,0,0.745334
G00166,Matabeleland South,M,2715.02,1.11,625.43,Mashonaland Tobacco Company (MTC),0.5,564.1,2448.9,B1,725.2,1,0.99
G00167,Matabeleland South,F,10413.59,5.26,1654.84,Intercontinental Leaf Tobacco,0.5,314.7,1980.2,C1,1833.1,1,0.99
G00168,Masvingo,M,1194.96,2.32,2917.41,Northern Tobacco (Pvt) Ltd,0.3,1256.9,514.8,A1,2793.6,0,0.182677
G00169,Mashonaland West,F,2198.75,10.89,11058.23,Tian Ze Tobacco,0.2,1015.2,201.9,T2,12837.0,0,0.01
G00170,Masvingo,M,12015.61,14.13,1590.85,Premium Leaf International,1.0,112.6,850.2,X1,1407.0,1,0.99
G00171,Mashonaland Central,M,1107.9,4.54,9952.8,Mashonaland Tobacco Company (MTC),0.7,2194.1,244.2,H3,10948.8,1,0.506824
G00172,Masvingo,F,1486.04,11.18,9809.44,Universal Leaf / ZLT,0.5,877.7,133.0,L3,10501.4,1,0.574351
G00173,Mashonaland Central,M,1600.27,1.56,865.94,Universal Leaf / ZLT,0.0,555.6,1026.7,T3,726.3,1,0.5994
G00174,Mashonaland Central,F,542.55,5.34,1054.87,Tobacco Sales Company (TSC),0.1,197.6,101.7,T2,1064.8,1,0.330735
G00175,Matabeleland South,M,1525.52,4.42,1355.8,Universal Leaf / ZLT,0.5,306.6,345.0,T2,1250.6,0,0.793623
G00176,Masvingo,M,1771.74,7.16,7341.38,Universal Leaf / ZLT,0.2,1025.6,247.5,A3,8002.6,0,0.158795
G00177,Matabeleland South,M,950.61,4.13,806.75,Northern Tobacco (Pvt) Ltd,0.7,195.3,230.1,H3,906.8,1,0.964269
G00178,Mashonaland Central,F,1440.7,1.66,1408.13,Intercontinental Leaf Tobacco,0.2,847.5,867.1,L1,1313.9,0,0.337171
G00179,Mashonaland West,M,9478.18,0.13,54.58,Premium Leaf Zimbabwe,0.7,423.2,73487.1,L5,48.7,1,0.99
G00180,Mashonaland West,M,4119.68,3.7,3711.08,Premium Leaf Zimbabwe,0.3,1003.3,1113.8,B1,3884.8,0,0.507354
G00181,Mashonaland West,M,1277.2,4.0,4386.19,Tian Ze Tobacco,0.0,1095.2,318.9,X2,4351.5,1,0.106846
G00182,Matabeleland South,M,337.08,9.09,4334.18,Premium Leaf International,1.0,477.0,37.1,L3,3731.6,1,0.767968
G00183,Matabeleland South,F,3166.15,4.85,4100.53,Zimbabwe Leaf Tobacco (ZLT),0.1,845.2,652.6,B1,4410.9,1,0.327965
G00184,Mashonaland Central,M,408.9,0.82,637.8,Onhardt Tobacco (Pvt) Ltd,0.2,779.8,499.9,L3,571.6,0,0.261015
G00185,Matabeleland South,M,1800.01,0.95,321.38,Shasha Tobacco (Pvt) Ltd,0.1,337.7,1891.7,A1,349.2,1,0.99
G00186,Matabeleland South,F,982.88,1.72,1809.19,Mashonaland Tobacco Company (MTC),0.7,1054.1,572.7,L1,1881.2,1,0.75578
G00187,Matabeleland South,M,2722.24,5.38,2126.27,Universal Leaf / ZLT,0.2,395.1,505.9,L3,2159.8,0,0.725207
G00188,Matabeleland South,M,1682.31,3.6,2519.63,Aqua Tobacco (Pvt) Ltd,1.0,699.4,467.0,X1,2035.4,1,0.841179
G00189,Matabeleland South,F,3514.44,7.11,988.08,Tobacco Sales Company (TSC),0.0,139.0,494.5,X1,1136.6,1,0.632444
G00190,Manicaland,F,826.24,0.35,451.98,Premium Leaf Zimbabwe,0.2,1273.7,2328.3,L5,398.0,0,0.43987
G00191,Mashonaland Central,F,13550.77,4.82,3221.89,Mashonaland Tobacco Company (MTC),0.3,668.1,2809.9,B1,3505.2,1,0.578279
G00192,Manicaland,M,40312.0,6.74,1700.29,Cut Rag Processors,0.1,252.3,5980.7,T1,1515.9,1,0.622561
G00193,Mashonaland Central,M,663.25,1.68,1096.26,Intercontinental Leaf Tobacco,0.7,650.9,393.8,B2,924.5,0,0.45921
G00194,Matabeleland South,M,606.48,5.06,3108.86,Intercontinental Leaf Tobacco,0.0,614.0,119.8,A2,3207.6,1,0.342166
